Contributor	X	Y	Z	n	s	sl
Cubes71	30	-27	-19	458	11	9
Cubes71	-31	28	20	161	11	9
Cubes71	-32	29	21	882	11	9
Cubes71	11	-9	0	602	11	10
Cubes71	12	-10	-1	727	11	10
Cubes71	13	-11	-2	858	11	10
Cubes71	14	-12	-3	989	11	10
Cubes71	24	-22	-13	979	11	10
Cubes71	25	-23	-14	714	11	10
Cubes71	26	-24	-15	377	11	10
Cubes71	-27	25	16	38	11	10
Cubes71	-28	26	17	537	11	10
Cubes71	11	-10	0	331	11	11
Cubes71	12	-11	-1	396	11	11
Cubes71	13	-12	-2	461	11	11
Cubes71	14	-13	-3	520	11	11
Cubes71	15	-14	-4	567	11	11
Cubes71	16	-15	-5	596	11	11
Cubes71	17	-16	-6	601	11	11
Cubes71	18	-17	-7	576	11	11
Cubes71	19	-18	-8	515	11	11
Cubes71	20	-19	-9	412	11	11
Cubes71	21	-20	-10	261	11	11
Cubes71	22	-21	-11	56	11	11
Cubes71	-23	22	12	209	11	11
Cubes71	-24	23	13	540	11	11
Cubes71	-25	24	14	943	11	11
Cubes71	58	-46	-46	440	12	1
Cubes71	-56	45	44	693	12	2
Cubes71	53	-43	-41	449	12	3
Cubes71	-51	42	39	756	12	4
Cubes71	-48	40	36	64	12	5
Cubes71	45	-38	-33	316	12	6
Cubes71	42	-36	-30	432	12	7
Cubes71	-43	37	31	937	12	7
Cubes71	39	-34	-27	332	12	8
Cubes71	-40	35	28	827	12	8
Cubes71	35	-31	-23	917	12	9
Cubes71	36	-32	-24	64	12	9
Cubes71	-37	33	25	909	12	9
Cubes71	12	-9	0	999	12	10
Cubes71	31	-28	-19	980	12	10
Cubes71	32	-29	-20	379	12	10
Cubes71	-33	30	21	324	12	10
Cubes71	12	-10	0	728	12	11
Cubes71	13	-11	-1	865	12	11
Cubes71	27	-25	-15	683	12	11
Cubes71	28	-26	-16	280	12	11
Cubes71	-29	27	17	207	12	11
Cubes71	-30	28	18	784	12	11
Cubes71	12	-11	0	397	12	12
Cubes71	13	-12	-1	468	12	12
Cubes71	14	-13	-2	539	12	12
Cubes71	15	-14	-3	604	12	12
Cubes71	16	-15	-4	657	12	12
Cubes71	17	-16	-5	692	12	12
Cubes71	18	-17	-6	703	12	12
Cubes71	19	-18	-7	684	12	12
Cubes71	20	-19	-8	629	12	12
Cubes71	21	-20	-9	532	12	12
Cubes71	22	-21	-10	387	12	12
Cubes71	23	-22	-11	188	12	12
Cubes71	-24	23	12	71	12	12
Cubes71	-25	24	13	396	12	12
Cubes71	-26	25	14	793	12	12
Cubes71	63	-50	-50	47	13	1
Cubes71	58	-47	-45	164	13	3
Cubes71	-53	44	40	307	13	5
Cubes71	50	-42	-37	259	13	6
Cubes71	47	-40	-34	519	13	7
Cubes71	44	-38	-31	521	13	8
Cubes71	-45	39	32	962	13	8
Cubes71	41	-36	-28	313	13	9
Cubes71	-42	37	29	954	13	9
Cubes71	37	-33	-24	892	13	10
Cubes71	-38	34	25	57	13	10
Cubes71	33	-30	-20	937	13	11
Cubes71	34	-31	-21	252	13	11
Cubes71	-35	32	22	541	13	11
Cubes71	13	-11	0	866	13	12
Cubes71	29	-27	-16	610	13	12
Cubes71	30	-28	-17	135	13	12
Cubes71	-31	29	18	430	13	12
Cubes71	13	-12	0	469	13	13
Cubes71	14	-13	-1	546	13	13
Cubes71	15	-14	-2	623	13	13
Cubes71	16	-15	-3	694	13	13
Cubes71	17	-16	-4	753	13	13
Cubes71	18	-17	-5	794	13	13
Cubes71	19	-18	-6	811	13	13
Cubes71	20	-19	-7	798	13	13
Cubes71	21	-20	-8	749	13	13
Cubes71	22	-21	-9	658	13	13
Cubes71	23	-22	-10	519	13	13
Cubes71	24	-23	-11	326	13	13
Cubes71	25	-24	-12	73	13	13
Cubes71	-26	25	13	246	13	13
Cubes71	-27	26	14	637	13	13
Cubes71	-68	54	54	496	14	1
Cubes71	-63	51	49	253	14	3
Cubes71	-58	48	44	664	14	5
Cubes71	55	-46	-41	118	14	6
Cubes71	52	-44	-38	552	14	7
Cubes71	49	-42	-35	686	14	8
Cubes71	46	-40	-32	568	14	9
Cubes71	43	-38	-29	246	14	10
Cubes71	39	-35	-25	819	14	11
Cubes71	-40	36	26	232	14	11
Cubes71	35	-32	-21	846	14	12
Cubes71	36	-33	-22	71	14	12
Cubes71	-37	34	23	818	14	12
Cubes71	30	-28	-16	952	14	13
Cubes71	31	-29	-17	489	14	13
Cubes71	-32	30	18	64	14	13
Cubes71	-33	31	19	713	14	13
Cubes71	14	-13	0	547	14	14
Cubes71	15	-14	-1	630	14	14
Cubes71	16	-15	-2	713	14	14
Cubes71	17	-16	-3	790	14	14
Cubes71	18	-17	-4	855	14	14
Cubes71	19	-18	-5	902	14	14
Cubes71	20	-19	-6	925	14	14
Cubes71	21	-20	-7	918	14	14
Cubes71	22	-21	-8	875	14	14
Cubes71	23	-22	-9	790	14	14
Cubes71	24	-23	-10	657	14	14
Cubes71	25	-24	-11	470	14	14
Cubes71	26	-25	-12	223	14	14
Cubes71	-27	26	13	90	14	14
Cubes71	-28	27	14	475	14	14
Cubes71	-29	28	15	938	14	14
Cubes71	-68	55	53	820	15	3
Cubes71	65	-53	-50	748	15	4
Cubes71	-60	50	45	125	15	6
Cubes71	57	-48	-42	513	15	7
Cubes71	54	-46	-39	809	15	8
Cubes71	51	-44	-36	811	15	9
Cubes71	48	-42	-33	567	15	10
Cubes71	45	-40	-30	125	15	11
Cubes71	41	-37	-26	692	15	12
Cubes71	-42	38	27	467	15	12
Cubes71	37	-34	-22	701	15	13
Cubes71	-38	35	23	170	15	13
Cubes71	32	-30	-17	855	15	14
Cubes71	33	-31	-18	314	15	14
Cubes71	-34	32	19	323	15	14
Cubes71	15	-14	0	631	15	15
Cubes71	16	-15	-1	720	15	15
Cubes71	17	-16	-2	809	15	15
Cubes71	18	-17	-3	892	15	15
Cubes71	19	-18	-4	963	15	15
Cubes71	24	-23	-9	928	15	15
Cubes71	25	-24	-10	801	15	15
